N Env_Canada,ID_SOMAEU,ID_ouvrage,Nom Ouvrage,SOMAEU-Secteur,Region,Trop-Plein X,Trop-Plein Y,Trop-Plein Z,Trop-Plein Lat,Trop-Plein Lon,Emissaire X,Emissaire Y,Emissaire Lon,Emissaire Lat
MTL-5,MTL-124,4430-03D,4430-03D Derivation Canal de l'Aqueduc,OMAEU de Montreal (Station Jean-R.-Marcotte),LASALLE,294601.47,5030565.07,22.25,45.4149475279697,-73.6303029724176,294600.61,5030542.69,-73.6303134971214,45.414746127964
MTL-11,MTL-125,4430-04D,4430-04D Derivation Orchard,OMAEU de Montreal (Station Jean-R.-Marcotte),LASALLE,293159.12,5031099.29,31.54,45.4197322166114,-73.6487439247699,293171.17,5031042.34,-73.6485886095848,45.419219950603
MTL-11,MTL-125,4430-04D,4430-04D Derivation Orchard,OMAEU de Montreal (Station Jean-R.-Marcotte),LASALLE,293159.12,5031099.29,31.54,45.4197322166114,-73.6487439247699,293145.54,5031084.1,-73.648917086326,45.4195953028221
MTL-16,MTL-126,4430-05D,4430-05D Deversoir Highlands,OMAEU de Montreal (Station Jean-R.-Marcotte),LASALLE,292492.71,5031574.23,30.66,45.4239945700363,-73.657270960127,292485.85,5031549.73,-73.6573580090809,45.4237739855284
MTL-19,MTL-127,4430-06D,4430-06D S.P. Lyette,OMAEU de Montreal (Station Jean-R.-Marcotte),LASALLE,291853.5,5032284.04,23.67,45.4303702658074,-73.6654578479344,291856.45,5032033.33,-73.6654135569842,45.4281143041047
MTL-31,MTL-130,4520-01D,4520-01D S.P. St-Charles,OMAEU de Montreal (Station Jean-R.-Marcotte),DORVAL,286885.3,5033419.83,23.82,45.4404810133232,-73.7289929425648,286968.1,5033031.36,-73.7279204940025,45.4369874981669
MTL-34,MTL-132,4530-02D,4530-02D S.P. no 4 (Dorval) (Bord-du-Lac),OMAEU de Montreal (Station Jean-R.-Marcotte),DORVAL,283588.7,5033460.11,,45.4407512215033,-73.7711327155504,283592.31,5033438.46,-73.7710856384275,45.4405565150568
MTL-42,MTL-133,4560-01D,4560-01D Trop-plein Chester,OMAEU de Montreal (Station Jean-R.-Marcotte),POINTE-CLAIRE,282564.46,5034594.76,26.37,45.4509294405501,-73.7842761478273,282500.24,5034235.16,-73.7850808739822,45.4476915683232
MTL-43,MTL-134,4560-02D,4560-02D Trop-plein regard 1254,OMAEU de Montreal (Station Jean-R.-Marcotte),POINTE-CLAIRE,282574.95,5034604.67,26.18,45.4510189483965,-73.7841424850749,282500.24,5034235.16,-73.7850808739822,45.4476915683232
MTL-44,MTL-135,4560-03D,4560-03D Trop-plein Vincennes,OMAEU de Montreal (Station Jean-R.-Marcotte),POINTE-CLAIRE,282698.49,5034699.6,26.37,45.4518770846698,-73.7825673376686,282500.24,5034235.16,-73.7850808739822,45.4476915683232
